"Group1","TEMP","   pH","  ALK","SRP","TDP","TP","NH4","Si","CHL.A","F","Cl","NO2","Br","NO3","SO4","Na","K","Ca","Mg","B","Fe","Mn","Zn","Cu","Al","Flow"
"0.0085315","0.7337278","0.1900000","0.6127733","0.7695391","0.3247918","0.5843478","0.3169399","0.8326360","0.0147024","0.4817969","0.6596497","0.0000000","0.7340000","0.5409532","0.3733877","0.7215846","0.6618748","0.4304190","0.3713354","0.8056076","0.0189322","0.2871465","0.1398515","0.1809495","0.0165707","0.0045636"
"0.0017857","0.6804734","0.1600000","0.6726122","0.7535070","0.2664958","0.6086957","0.2349727","0.8772664","0.0154154","0.9137528","0.6177862","0.0000000","0.5606667","0.4676622","0.3839188","0.7006700","0.6373598","0.4107847","0.3349124","0.5609508","0.0279846","0.3632733","0.1313649","0.2949452","0.0180602","0.0039452"
"0.0076635","0.9112426","0.0900000","0.6789413","0.7735471","0.2831518","0.6521739","0.4262295","0.8549512","0.0136498","0.4075891","0.6250760","0.0000000","0.7446667","0.5512551","0.2880459","0.7386043","0.7334935","0.4890861","0.4095906","0.8225739","0.0145015","0.3223243","0.1753073","0.2234620","0.0271912","0.0121944"
"0.0087547","0.8343195","0.1300000","0.7738780","0.7535070","0.2620115","0.6069565","0.5573770","0.8340307","0.0093036","0.4518923","0.6173426","0.0341536","0.6613333","0.4014148","0.2892897","0.7266208","0.6639462","0.5242872","0.4281373","0.5327463","0.0087547","0.3465939","0.1522002","0.1524596","0.0282269","0.0003216"
"0.0050346","0.6923077","0.1700000","0.2422325","0.9178357","0.3260730","0.7495652","0.3005464","0.9093445","0.0133442","0.4075891","0.7946176","0.0000000","0.8073333","0.6223173","0.4307116","0.8557349","0.7995298","0.5911333","0.4660350","0.9390113","0.0470274","0.2743303","0.3481849","0.2482963","0.0397705","0.0051078"
"0.0036953","0.5976331","0.1500000","0.6950518","0.8837675","0.3452915","0.8017391","0.5464481","0.8995816","0.0123256","0.0099062","0.7725606","0.1135254","0.6956897","0.5755584","0.4581884","0.9073729","0.8259402","0.5809029","0.5840186","0.7168080","0.0341024","0.3066344","0.1366479","0.2773756","0.0234030","0.0021519"
"0.0002976","0.5798817","0.2000000","1.0000000","0.8737475","0.3074952","0.7252174","0.2240437","0.8451883","0.0029201","0.3699608","0.8099919","0.0000000","0.6452621","0.7130678","0.4202309","0.8655250","0.8902572","0.6750132","0.5881748","1.0000000","0.0283556","0.3191840","0.1156008","0.2628670","0.0087069","0.0043286"
"0.0014881","0.5562130","0.0000000","0.6357883","0.8837675","0.3151826","0.7165217","0.3497268","0.7866109","0.0046857","0.1022287","0.6939470","1.0000003","0.5123025","0.5750129","0.4161618","0.8049534","0.8066761","0.5846281","0.4274222","0.5000960","0.0464852","0.2555001","0.1402520","0.2765225","0.0255381","0.0108710"
"0.0011656","0.4970414","0.0400000","0.6104718","0.8557114","0.2978860","0.6747826","0.5573770","0.8145049","0.0054667","0.0309508","0.6956643","0.7847779","0.4749044","0.5794934","0.5221842","0.7896799","0.7912442","0.6334614","0.5855828","0.6523947","0.0634764","0.3018173","0.2623217","0.3880984","0.0258808","0.0406520"
"0.0010168","0.4733728","0.0100000","0.5909091","0.9098196","0.3196669","0.7373913","0.4207650","0.8842399","0.0017317","-0.0000055","0.7224615","0.0000000","0.6352350","0.5594346","0.5775911","0.8007338","0.8127350","0.5964551","0.5921970","0.5291837","0.0557235","0.2687666","0.2613244","0.4056680","0.0274205","0.0221131"
"0.0017857","0.3727811","0.0600000","0.7951669","0.9839679","0.3459321","0.7913043","0.5409836","0.9260809","0.0009168","0.5699844","0.8479981","0.0000000","0.8266461","0.6931647","0.6176670","0.8350815","0.8316469","0.6518623","0.6432785","0.8153621","0.0589965","0.2249261","0.1930698","0.4567585","0.0270921","0.0108463"
"0.0000000","0.3017751","0.1100000","0.5586881","0.9639279","0.3376041","0.7826087","0.4426230","1.0000000","0.0008828","0.5681800","1.0000001","0.1786989","0.6212599","0.8092282","0.8780850","0.9367291","0.9069527","0.8858693","0.7958974","0.7294597","0.0615322","0.2665268","0.2576703","0.7391392","0.0543958","0.0112915"
"0.0008680","0.2544379","0.2400000","0.7215190","0.9478958","0.3459321","0.8191304","0.4808743","0.9232915","0.0000000","0.7314438","0.8720155","0.1896373","0.8345082","0.9999999","0.8976170","1.0000000","1.0000000","0.9741715","1.0000000","0.9109704","0.0645861","0.2473233","1.0000000","0.6664305","0.0095550","0.0144947"
"0.0007192","0.1834320","0.1800000","0.6104718","1.0000000","0.3593850","1.0000000","0.4644809","0.9107392","0.0041764","1.0010973","0.9557678","0.1019780","0.8313795","0.9977453","0.9999996","0.9701308","0.8764306","1.0000000","0.9247408","0.7375262","0.0497995","0.2664794","0.2983705","1.0000000","0.0255813","0.0601556"
"0.0092012","0.0000000","0.1200000","0.2991945","0.6573146","0.2286996","0.5321739","1.0000000","0.6192469","0.0011884","0.3805478","0.6375028","0.1623503","0.5551227","0.5483274","0.2546427","0.6386135","0.4794051","0.3097289","0.1197712","0.3272699","0.1452043","0.3946531","0.1916259","0.1786124","0.0668527","0.1332847"
"0.0091516","0.3964497","0.2400000","0.5886076","0.5891784","0.2081999","0.4747826","0.4316940","0.6527197","0.0032936","0.3677163","0.5153568","0.0746948","0.4593333","0.5728104","0.2844904","0.4657664","0.3391816","0.5489115","0.3690561","0.3333901","0.1174881","0.3740809","0.1576333","0.0690893","0.0731788","0.2831913"
